Ensayo,Muestra-año,Exportador,CodigoVUCE (grupos),Cant muestras,Promedio de RESULTADO,Año,Mes
ACIDEZ (% ác. oleico),C0245-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.24,2023,febrero
ACIDEZ (% ác. oleico),C0246-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.11,2023,febrero
ACIDEZ (% ác. oleico),C0247-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.24,2023,febrero
ACIDEZ (% ác. oleico),C0248-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.14,2023,febrero
ACIDEZ (% ác. oleico),C0249-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.26,2023,febrero
ACIDEZ (% ác. oleico),C0250-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.15,2023,febrero
ACIDEZ (% ác. oleico),C0251-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.26,2023,febrero
ACIDEZ (% ác. oleico),C0252-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.11,2023,febrero
ACIDEZ (% ác. oleico),C0253-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.22,2023,febrero
ACIDEZ (% ác. oleico),C0254-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.13,2023,febrero
ACIDEZ (% ác. oleico),C0255-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.19,2023,febrero
ACIDEZ (% ác. oleico),C0256-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.34,2023,febrero
ACIDEZ (% ác. oleico),C0259-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.12,2023,febrero
ACIDEZ (% ác. oleico),C0260-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.18,2023,febrero
ACIDEZ (% ác. oleico),C0261-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.13,2023,febrero
ACIDEZ (% ác. oleico),C0262-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.19,2023,febrero
ACIDEZ (% ác. oleico),C0263-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.12,2023,febrero
ACIDEZ (% ác. oleico),C0264-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.2,2023,febrero
ACIDEZ (% ác. oleico),C0265-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.15,2023,febrero
ACIDEZ (% ác. oleico),C0267-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.33,2023,febrero
ACIDEZ (% ác. oleico),C0269-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.18,2023,febrero
ACIDEZ (% ác. oleico),C0270-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.19,2023,febrero
ACIDEZ (% ác. oleico),C0271-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.14,2023,febrero
ACIDEZ (% ác. oleico),C0272-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.19,2023,febrero
ACIDEZ (% ác. oleico),C0273-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.17,2023,febrero
ACIDEZ (% ác. oleico),C0275-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.19,2023,febrero
ACIDEZ (% ác. oleico),C0278-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.19,2023,febrero
ACIDEZ (% ác. oleico),C0281-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.35,2023,febrero
ACIDEZ (% ác. oleico),C0282-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.33,2023,febrero
ACIDEZ (% ác. oleico),C0283-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.31,2023,febrero
ACIDEZ (% ác. oleico),C0284-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.34,2023,febrero
ACIDEZ (% ác. oleico),C0285-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.36,2023,febrero
ACIDEZ (% ác. oleico),C0286-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.35,2023,febrero
ACIDEZ (% ác. oleico),C0289-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.33,2023,febrero
ACIDEZ (% ác. oleico),C0290-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.31,2023,marzo
ACIDEZ (% ác. oleico),C0291-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.22,2023,febrero
ACIDEZ (% ác. oleico),C0293-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.28,2023,febrero
ACIDEZ (% ác. oleico),C0294-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.35,2023,febrero
ACIDEZ (% ác. oleico),C0296-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.4,2023,febrero
ACIDEZ (% ác. oleico),C0297-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.25,2023,febrero
ACIDEZ (% ác. oleico),C0300-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.23,2023,febrero
ACIDEZ (% ác. oleico),C0302-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.38,2023,febrero
ACIDEZ (% ác. oleico),C0303-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.33,2023,marzo
ACIDEZ (% ác. oleico),C0304-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.39,2023,febrero
ACIDEZ (% ác. oleico),C0305-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.36,2023,marzo
ACIDEZ (% ác. oleico),C0307-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.26,2023,febrero
ACIDEZ (% ác. oleico),C0308-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.21,2023,febrero
ACIDEZ (% ác. oleico),C0310-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.17,2023,febrero
ACIDEZ (% ác. oleico),C0311-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.3,2023,febrero
ACIDEZ (% ác. oleico),C0313-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.39,2023,marzo
ACIDEZ (% ác. oleico),C0314-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.38,2023,marzo
ACIDEZ (% ác. oleico),C0315-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.5,2023,marzo
ACIDEZ (% ác. oleico),C0316-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.47,2023,marzo
ACIDEZ (% ác. oleico),C0317-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.46,2023,marzo
ACIDEZ (% ác. oleico),C0319-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.41,2023,marzo
ACIDEZ (% ác. oleico),C0320-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.44,2023,marzo
ACIDEZ (% ác. oleico),C0321-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.42,2023,marzo
ACIDEZ (% ác. oleico),C0326-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.18,2023,febrero
ACIDEZ (% ác. oleico),C0328-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.41,2023,marzo
ACIDEZ (% ác. oleico),C0329-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.37,2023,marzo
ACIDEZ (% ác. oleico),C0330-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.43,2023,marzo
ACIDEZ (% ác. oleico),C0337-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.18,2023,marzo
ACIDEZ (% ác. oleico),C0339-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.17,2023,febrero
ACIDEZ (% ác. oleico),C0341-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.42,2023,marzo
ACIDEZ (% ác. oleico),C0342-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.43,2023,marzo
ACIDEZ (% ác. oleico),C0343-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.4,2023,marzo
ACIDEZ (% ác. oleico),C0344-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.31,2023,marzo
ACIDEZ (% ác. oleico),C0345-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.31,2023,marzo
